inf_prob,diag_prob,i0,behaviour_change,behaviour_change_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized,LL
0.82,0.3,14.0,0.7,0.005,0.0,41.0,248.0,1008.0,3672.0,5122.0,1590.0,486.0,293.0,155.0,63.0,21.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16972.0,-2796.1592916497443
0.58,0.34,12.0,0.6,0.0001,0.0,4.0,6.0,4.0,17.0,28.0,55.0,86.0,130.0,217.0,306.0,443.0,616.0,749.0,789.0,866.0,843.0,889.0,768.0,705.0,641.0,617.0,528.0,470.0,380.0,349.0,7068.0,-2838.730774876567
0.11,0.34,5.0,0.6,0.001,0.0,9.0,16.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-inf
0.13,0.35,5.0,0.5,0.5,0.0,3610.0,2704.0,1960.0,1127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-inf
0.28,0.26,9.0,0.4,0.0005,0.0,2.0,10.0,10.0,7.0,17.0,33.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-inf
0.77,0.24,5.0,0.5,0.0005,0.0,7.0,8.0,8.0,28.0,158.0,554.0,1255.0,2136.0,2405.0,2126.0,1525.0,1006.0,554.0,283.0,156.0,66.0,19.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,16015.0,-1244.7495027108318
0.31,0.37,10.0,0.1,5e-05,0.0,0.0,0.0,3.0,3.0,4.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-inf
0.61,0.37,8.0,0.9,0.01,0.0,167.0,330.0,485.0,596.0,1053.0,2233.0,3416.0,3001.0,1505.0,392.0,80.0,15.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.0,-3449.541804646367
0.2,0.4,6.0,0.5,0.1,0.0,874.0,1536.0,2279.0,2315.0,1769.0,1506.0,947.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-inf
0.68,0.26,7.0,0.3,0.05,0.0,424.0,425.0,1120.0,1993.0,3227.0,3518.0,2124.0,447.0,30.0,11.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7536.0,-1606.4015885713472
